BOR;AN;FI;FI_EJ;BIO_A1;BIO_A2;BIO_A3;BIO_A4;BIO_A5;BIO_A6;BIO_A7;BIO_A8;BIO_A9;BIO_A10;BIO_A11;BIO_A12;BIO_A13;BIO_A14;BIO_A15;BIO_A16;BIO_A17;BIO_A18;BIO_B1;BIO_B2;BIO_B3;BIO_B4;BIO_A19;BIO_A20;BIO_B19;BIO_B20;BIO_B21;BIO_C19;BIO_C20;BIO_A22;BIO_A23;BIO_A24;BIO_A25;BIO_A26;BIO_A27;BIO_A28;BIO_A29;BIO_A30;BIO_B22;BIO_B23;BIO_B24;BIO_B25;BIO_B26;BIO_B27;BIO_B28;BIO_B29;BIO_B30;BIO_C22;BIO_C23;BIO_C24;BIO_C25;BIO_C26;BIO_C27;BIO_C28;BIO_C29;BIO_C30;BIO_D22;BIO_D23;BIO_D25;BIO_E22;BIO_E23;BIO_E25
BIO;2019;310000310;310780671;1;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;63703;7181;;0;;0;;;0;;2;;;14;3;;;;;1;1;1;1;1;;;;;1.83;1.93;0.8;14.8;2.66;;;;;;;1;1;;0
BIO;2019;310016977;310781406;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;;20396;;;;;;;;;;1;1;;9;16;;;;;3;;;2;6;;;;;2.55;0.46;;9.3;17.14;;;;;0;0;0;0;0;0
BIO;2019;310025333;310781406;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;82469;78079;;10663;4297;45271;309;973;35043;2109;6;;1;32;0;21;2;46;1;;;;3;5;10;;9;0;4;;1;31.95;3.33;17.12;2;47.92;1;1;1;1;1;1;1
BIO;2019;310782347;310789136;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;435987;347191;347191;;;;;;;;6;2;5;23;13;4;;;1;4;0;1;3;0;4;;2;1;5.14;0.58;5.57;24.36;11.88;5.08;;2.09;1.8;;;;;;
BIO;2019;310783048;310781406;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;3271484;461999;;;;;;;;;54;5;5;209;28;;;;;10;3;2;42;17;;;;;38.56;3.45;4.92;231.23;28.67;;;;;1;1;1;1;1;1
BIO;2019;310783055;310781406;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2199330;17400;;;;;;;;;9;;1;45;;;;;;;;1;2;1;;;;;5.3;;1.3;45.03;0.47;;;;;1;1;1;1;1;1
BIO;2019;320000086;320780117;1;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;716584;48934;23429;0;0;0;0;0;0;0;3;0;1;14;5;0;0;0;0;0;0;0;9;4;0;0;0;0;3;0;1;20.95;7.4;0;0;0;0;1;0;;1;0;
BIO;2019;330000555;330781204;1;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;639918;35217;4499;;;;;;;;4;;1;10;4;;;;;1;;;5;;;;;;3.39;;0.1;13.75;3.2;;;;;0;;0;1;;1
BIO;2019;330000589;330027509;1;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;330763;61804;55076;0;;0;;;;;2;0;0;8;2;0;0;0;0;1;0;1;5;2;0;0;0;0;3;0;0.8;12.63;3.56;0;0;0;0;0;0;0;0;0;1
BIO;2019;330000605;330781253;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1452921;54672;26;3432;2056;13725;80;88;;;3;5;1;34;14;6;;3;3;;1;1;3;1;;1;2;1;2.84;5.18;0.68;34.73;15.58;5.14;0.3;4.52;3.27;0;0;;1;1;
BIO;2019;330000662;330781329;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;;0;0;1;319751;312;302;5301;50;11839;0;277;6883;0;2;1;;13;6;8;;33;13;1;;1;2;;3;1;2;1;2.1;0.5;0.7;11.5;4.2;8.87;0.5;29.2;12.5;0;0;0;0;0;0
BIO;2019;330781303;750821092;1;1;0;1;1;1;0;1;0;0;1;1;1;1;0;0;0;0;1;437612;252602;201545;0;0;0;0;0;0;0;0;2;1;18;2;0;0;0;0;4;0;0;2;0;0;0;0;0;1.79;2.66;1;22.03;2.41;0;0;0;0;0;0;1;0;1;0
BIO;2019;330781352;330781196;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;564856;67390;0;;;;;;;;;;;9;;;;;;1;5;;2;;;;;;0.3;0.95;;4.45;;;;;;0;0;0;0;0;0
BIO;2019;330781360;330781196;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;4247457;1007586;166766;2240;0;21732;0;261;1024;0;26;25;6;196;85;11;1;16;8;10;19;3;33;17;2;;1;1;21.3;27.4;9.17;226.3;91.2;12.55;1;15.98;8.48;0;0;1;1;1;1
BIO;2019;330783648;330781196;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;2176232;135580;28576;10533;2822;23003;78;604;5138;1;8;5;1;49;7;9;1;15;5;1;10;2;13;8;3;;1;1;8;7.15;2.2;58.5;10.7;7.7;1;15.7;6;0;0;;1;1;
BIO;2019;340000033;340780055;1;;;1;1;;;;1;;1;1;1;1;;;;;1;733666;41115;133;3654;2044;6648;44;83;2487;1895;3;;1;21;4;3;1;4;3;2;;1;7;5;;1;1;1;4.45;;1.25;25.85;7.03;2.78;1.15;5.04;3.48;;;;;;
BIO;2019;340000207;340780493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;304;223;;4158;;8920;;484;204;;1;;;;;5;1;16;5;;;;;;3;;5;0;0.45;;;;;6.11;1;17.21;3.21;0;0;0;0;0;0
BIO;2019;340000223;340011295;1;1;0;1;1;0;0;1;0;1;1;1;1;1;0;0;1;0;1;893796;105971;0;4032;3413;1570;12;16;;;1;0;0;17;7;1;0;5;0;3;0;0;3;1;0;0;0;0;3.62;0;0;19.4;4.68;1;0;1.45;0;;;;;;
BIO;2019;340015502;340000512;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;981927;156710;;;;;;;;;3;;4;7;16;;;;;;;;;;;;;;3;;4;7;16;;;;;1;;1;1;;1
BIO;2019;340022979;340000306;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;49000;25400;;;;;;;;;2;1;;15;10;;;;;;;;;;;;;;2;1;;15;10;;;;;0;0;0;1;1;1
BIO;2019;340780675;340000298;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;1
